feature,coefficient
port_tx_packets_std,33.81177640462501
port_tx_packets_mean,29.451638053666876
no_of_icmp_flows,21.08449591254368
port_tx_bytes_mean,20.230025317338942
port_tx_bytes_std,17.61805872805971
port_rx_bytes_std,17.12789370717562
port_tx_bytes_sum,10.458834903071113
port_rx_bytes_sum,10.035559970816106
flow_packet_count_sum,8.728006957121535
flow_packets_per_flow,8.154786958559196
port_tx_packets_sum,7.2926537336952
flow_packet_count_mean,7.096775440453913
port_rx_bytes_sum_diff,7.045758471112575
port_tx_bytes_sum_diff,6.233801998955529
no_of_icmp_flows_diff,5.80420726706124
port_rx_packets_std,5.37875055952294
no_of_tcp_flows,5.061853581865906
flow_byte_count_sum,4.852926760671084
port_tx_packets_sum_diff,3.638250790597933
port_rx_packets_sum,3.07588026000874
port_rx_bytes_mean,2.765894621827055
port_rx_packets_sum_diff,2.497899973084729
table_active_count_std,2.4527772861988737
table_active_count_mean,2.2635325066550256
port_rx_packets_mean,2.248222458927379
tcp_to_udp_ratio,2.0452364452015575
no_of_unique_src_ports,1.9096370115999506
flow_packet_count_sum_diff,1.6728511301288662
unique_src_to_dst_address_ratio,1.6050461797982785
port_rx_dropped_sum,1.3820603533203681
no_of_total_flows,1.3172282254702667
port_tx_packets_10s_mean,1.2980276411831364
flow_packet_count_std,1.2642126800876572
flow_byte_count_mean,1.0427952212540088
flow_duration_sec_std,0.8727475824930923
no_of_tcp_flows_diff,0.8167754768980846
port_rx_packets_10s_mean,0.8099965543250983
flow_packet_count_10s_mean,0.8073638918555379
table_matched_count_sum,0.7957592107230346
table_lookup_count_sum,0.7957592107230346
table_matched_count_mean,0.6928376945823669
table_lookup_count_mean,0.6928376945823669
flow_byte_count_std,0.6799135293383987
table_matched_count_std,0.6785035371530352
table_lookup_count_std,0.6785035371530352
no_of_total_flows_diff,0.6241388698224968
no_of_unique_src_addresses,0.6111164245355925
unique_src_to_dst_port_ratio,0.6015212071116011
flow_duration_sec_mean,0.5518496873418427
no_of_unique_dst_ports,0.5282958387209401
no_of_unique_dst_addresses,0.5095598660017981
no_of_unique_src_addresses_diff,0.3890409501089414
no_of_udp_flows,0.3301637371411106
no_of_udp_flows_diff,0.24330927320655393
port_rx_dropped_mean,0.20612691718117843
total_flows_10s,0.170533340358455
no_of_other_flows_diff,0.11888215324975555
no_of_other_flows,0.06967920629467182
flow_byte_count_sum_diff,0.0672840454657734
flow_byte_count_10s_mean,0.0603118909414367
table_active_count_sum,0.011994922393385083
port_tx_dropped_sum,0.0
port_tx_errors_std,0.0
port_tx_errors_mean,0.0
port_tx_errors_sum,0.0
port_rx_dropped_std,0.0
port_rx_errors_sum,0.0
