feature,coefficient
port_rx_bytes_mean,1.6502913143049582
table_active_count_std,1.5028431478888469
port_tx_packets_std,1.4844667418978774
flow_packet_count_sum,1.4797516992899722
flow_byte_count_mean,1.382874120745634
port_rx_packets_std,1.3717111165502458
port_rx_bytes_std,1.178181960440871
port_tx_packets_sum,1.0694540860188049
port_tx_packets_mean,1.0125487404771698
flow_duration_sec_std,0.8726768115693665
port_rx_bytes_sum,0.8604034988244136
flow_byte_count_std,0.8431445882635361
port_rx_packets_sum_diff,0.7728226615448378
flow_packet_count_mean,0.7379817021778988
no_of_unique_src_addresses,0.7017120066023645
flow_packet_count_10s_mean,0.6584235074293125
flow_packet_count_std,0.5921480131668272
port_rx_dropped_mean,0.5569305045198911
flow_packet_count_sum_diff,0.5064940348468505
flow_duration_sec_mean,0.48527147431360274
table_active_count_sum,0.4823229028591373
port_tx_bytes_sum,0.45109137912621833
port_tx_packets_10s_mean,0.4506174556055625
port_tx_bytes_std,0.4077224486253754
no_of_udp_flows,0.3908544591685047
table_lookup_count_mean,0.3710621984857297
table_matched_count_mean,0.3710621984857297
flow_byte_count_sum_diff,0.3690483710300544
port_tx_bytes_sum_diff,0.3601117442335734
flow_packets_per_flow,0.351247820524237
no_of_unique_dst_addresses,0.3393996833290321
no_of_other_flows_diff,0.31621166525125227
no_of_unique_src_addresses_diff,0.29408862106215805
unique_src_to_dst_port_ratio,0.29225602231224634
port_rx_packets_sum,0.27772310991853166
table_lookup_count_sum,0.2673581379000204
table_matched_count_sum,0.2673581379000204
port_rx_packets_mean,0.23084353626710918
port_rx_dropped_sum,0.22144895344571153
no_of_tcp_flows,0.215388670674702
tcp_to_udp_ratio,0.2119567107180257
flow_byte_count_sum,0.18910108719737806
no_of_tcp_flows_diff,0.17924722294062484
port_tx_bytes_mean,0.17848478954221458
no_of_unique_dst_ports,0.168511624116859
port_rx_bytes_sum_diff,0.16141834534007443
total_flows_10s,0.15078219353907157
no_of_icmp_flows_diff,0.10864588840616186
table_matched_count_std,0.10607512453717143
table_lookup_count_std,0.10607512453717143
no_of_total_flows_diff,0.10565651534182158
no_of_udp_flows_diff,0.10451271197250663
flow_byte_count_10s_mean,0.09943741348802786
port_tx_packets_sum_diff,0.09917214045406482
table_active_count_mean,0.09873046924772985
no_of_other_flows,0.06330112629505354
no_of_total_flows,0.057403876925583554
port_rx_packets_10s_mean,0.054531812747200654
no_of_icmp_flows,0.02076343675188394
unique_src_to_dst_address_ratio,0.014971343336439437
no_of_unique_src_ports,0.00810078312243365
port_rx_errors_sum,0.0
port_tx_dropped_sum,0.0
port_tx_errors_std,0.0
port_tx_errors_mean,0.0
port_tx_errors_sum,0.0
port_rx_dropped_std,0.0
