timestamp,flow_packet_count_sum,flow_packet_count_mean,flow_packet_count_std,flow_byte_count_sum,flow_byte_count_mean,flow_byte_count_std,flow_duration_sec_mean,flow_duration_sec_std,port_rx_packets_sum,port_rx_packets_mean,port_rx_packets_std,port_tx_packets_sum,port_tx_packets_mean,port_tx_packets_std,port_rx_bytes_sum,port_rx_bytes_mean,port_rx_bytes_std,port_tx_bytes_sum,port_tx_bytes_mean,port_tx_bytes_std,port_rx_dropped_sum,port_rx_dropped_mean,port_rx_dropped_std,port_tx_errors_sum,port_tx_errors_mean,port_tx_errors_std,table_active_count_sum,table_active_count_mean,table_active_count_std,table_lookup_count_sum,table_lookup_count_mean,table_lookup_count_std,table_matched_count_sum,table_matched_count_mean,table_matched_count_std,no_of_tcp_flows,no_of_udp_flows,no_of_icmp_flows,no_of_other_flows,no_of_total_flows,no_of_unique_src_addresses,no_of_unique_dst_addresses,no_of_unique_src_ports,no_of_unique_dst_ports,tcp_to_udp_ratio,flow_packets_per_flow,unique_src_to_dst_address_ratio,unique_src_to_dst_port_ratio,flow_packet_count_10s_mean,flow_byte_count_10s_mean,port_rx_packets_10s_mean,port_tx_packets_10s_mean,total_flows_10s,attack,port_tx_dropped_sum,port_rx_errors_sum,flow_packet_count_sum_diff,flow_byte_count_sum_diff,port_rx_packets_sum_diff,port_tx_packets_sum_diff,port_rx_bytes_sum_diff,port_tx_bytes_sum_diff,no_of_total_flows_diff,no_of_tcp_flows_diff,no_of_udp_flows_diff,no_of_icmp_flows_diff,no_of_other_flows_diff,no_of_unique_src_addresses_diff
2025-10-16 19:07:30,68,17.0,1.1547005383792515,11232,2808.0,919.1416285498842,56.0,0.0,1205,200.83333333333334,156.3347903272546,1169,194.83333333333334,151.8096395709662,1490374,248395.66666666666,368257.0169073044,1440018,240003.0,355784.4595701167,2,0.3333333333333333,0.0,0,0.0,0.0,4,1.0,0.0,341,85.25,82.90305583430967,341,85.25,82.90305583430967,0,0,0,4,4,0,0,0,0,0.0,13.6,0.0,0.0,17.0,2808.0,200.83333333333334,194.83333333333334,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:07:31,68,17.0,1.1547005383792515,11232,2808.0,919.1416285498842,57.0,0.0,1205,200.83333333333334,156.3347903272546,1169,194.83333333333334,151.8096395709662,1490374,248395.66666666666,368257.0169073044,1440018,240003.0,355784.4595701167,2,0.3333333333333333,0.0,0,0.0,0.0,4,1.0,0.0,341,85.25,82.90305583430967,341,85.25,82.90305583430967,0,0,0,4,4,0,0,0,0,0.0,13.6,0.0,0.0,17.0,2808.0,200.83333333333334,194.83333333333334,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:07:32,68,17.0,1.1547005383792515,11232,2808.0,919.1416285498842,58.0,0.0,1205,200.83333333333334,156.3347903272546,1169,194.83333333333334,151.8096395709662,1490374,248395.66666666666,368257.0169073044,1440018,240003.0,355784.4595701167,2,0.3333333333333333,0.0,0,0.0,0.0,4,1.0,0.0,341,85.25,82.90305583430967,341,85.25,82.90305583430967,0,0,0,4,4,0,0,0,0,0.0,13.6,0.0,0.0,17.0,2808.0,200.83333333333334,194.83333333333334,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:07:33,68,17.0,1.1547005383792515,11232,2808.0,919.1416285498842,59.0,0.0,1205,200.83333333333334,156.3347903272546,1169,194.83333333333334,151.8096395709662,1490374,248395.66666666666,368257.0169073044,1440018,240003.0,355784.4595701167,2,0.3333333333333333,0.0,0,0.0,0.0,4,1.0,0.0,341,85.25,82.90305583430967,341,85.25,82.90305583430967,0,0,0,4,4,0,0,0,0,0.0,13.6,0.0,0.0,17.0,2808.0,200.83333333333334,194.83333333333334,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:07:35,1054,11.582417582417582,58.505852686161234,64476,708.5274725274726,3283.52037145994,2.6373626373626373,12.367984191736054,1950,325.0,376.1483749798741,1208,201.33333333333334,158.29297731316657,1530604,255100.66666666666,378937.01211608597,1442124,240354.0,356336.1393246551,2,0.3333333333333333,0.0,0,0.0,0.0,91,22.75,38.973281445968425,1240,310.0,372.31438328380494,1240,310.0,372.31438328380494,87,0,0,4,91,1,1,78,3,87.0,11.456521739130435,0.5,19.5,12.392523364485982,1022.4672897196261,225.66666666666666,196.13333333333333,107,1,0.0,0.0,986.0,53244.0,745.0,39.0,40230.0,2106.0,87.0,87.0,0.0,0.0,0.0,1.0
2025-10-16 19:07:42,3297,5.8353982300884955,57.054498210221865,188566,333.74513274336283,3301.6837901018207,0.5557522123893806,5.288736493469654,2683,447.1666666666667,357.7985000900181,1906,317.6666666666667,268.18923667191916,1542818,257136.33333333334,369892.8561698193,1459596,243266.0,357269.1222862676,2,0.3333333333333333,0.0,0,0.0,0.0,565,141.25,163.17756177448746,3002,750.5,102.84778396575527,3002,750.5,102.84778396575527,561,0,0,4,565,2,2,193,116,561.0,5.8250883392226145,0.6666666666666666,1.6495726495726495,6.695454545454545,400.41515151515154,324.3333333333333,237.94444444444446,660,1,0.0,0.0,2243.0,124090.0,733.0,698.0,12214.0,17472.0,474.0,474.0,0.0,0.0,0.0,1.0
2025-10-16 19:07:43,3743,12.560402684563758,99.28711236945902,212446,712.9060402684564,5659.583097092284,0.9194630872483222,7.896226587652403,3046,507.6666666666667,395.8023075560155,2703,450.5,362.62032485783254,1562336,260389.33333333334,368955.2068805462,1502598,250433.0,358476.73202650127,2,0.3333333333333333,0.0,0,0.0,0.0,298,74.5,145.66971774073934,3578,894.5,117.5457357797381,3578,894.5,117.5457357797381,293,0,0,5,298,2,2,76,225,293.0,12.518394648829432,0.6666666666666666,0.336283185840708,8.484276729559749,487.9329140461216,426.6111111111111,323.1666666666667,954,1,0.0,0.0,446.0,23880.0,363.0,797.0,19518.0,43002.0,-267.0,-268.0,0.0,0.0,1.0,0.0
2025-10-16 19:07:44,3781,4.91038961038961,75.28459067316433,209306,271.825974025974,4196.957240228636,0.5597402597402598,3.5788992844859546,2209,736.3333333333334,737.0009045675135,1936,645.3333333333334,614.3015003508727,818194,272731.3333333333,433116.5078190086,782832,260944.0,413896.04844211787,2,0.6666666666666666,0.0,0,0.0,0.0,771,385.5,543.765114732455,3094,1547.0,162.63455967290594,3094,1547.0,162.63455967290594,767,0,0,3,770,2,2,547,225,767.0,4.90402075226978,0.6666666666666666,2.420353982300885,6.888051044083527,391.41183294663574,470.85714285714283,369.1904761904762,1724,1,0.0,0.0,38.0,-3140.0,-837.0,-767.0,-744142.0,-719766.0,472.0,474.0,0.0,0.0,-2.0,0.0
2025-10-16 19:07:45,4165,5.079268292682927,81.14851582717687,230054,280.5536585365854,4508.948856526101,0.7585365853658537,3.510700587179643,2366,788.6666666666666,816.275280364004,2259,753.0,773.2379969970436,826660,275553.3333333333,437962.30234728346,800262,266754.0,423909.7405674939,3,1.0,0.0,0,0.0,0.0,820,410.0,578.4133470105959,3413,1706.5,167.58430714121175,3413,1706.5,167.58430714121175,818,0,0,2,820,1,1,812,5,818.0,5.0730816077953715,0.5,135.33333333333334,6.109253974724827,342.5894822666123,572.4444444444445,489.1111111111111,2453,1,0.0,0.0,384.0,20748.0,157.0,323.0,8466.0,17430.0,50.0,51.0,0.0,0.0,-1.0,-1.0
2025-10-16 19:07:46,30436,47.78021978021978,852.0423200420969,1645648,2583.434850863422,46069.18582903918,0.21664050235478807,3.863248789782144,32596,5432.666666666667,7870.42546922761,2634,439.0,503.8360844560461,3212664,535444.0,795165.1873244955,1539348,256558.0,381688.38224080123,2,0.3333333333333333,0.0,0,0.0,0.0,638,319.0,449.7199128346442,16745,8372.5,470.2260094890541,16745,8372.5,470.2260094890541,635,0,0,2,637,2,2,627,11,635.0,47.705329153605014,0.6666666666666666,52.25,14.69967637540453,804.537216828479,1787.5,476.5833333333333,3090,1,0.0,0.0,26271.0,1415594.0,30230.0,375.0,2386004.0,739086.0,-183.0,-183.0,0.0,0.0,0.0,1.0
