feature,importance
table_active_count_mean,0.06763222288638078
flow_duration_sec_mean,0.06657238607961029
total_flows_10s,0.06558925063839716
no_of_total_flows,0.06086772678175096
flow_byte_count_mean,0.058036252755803076
flow_packet_count_mean,0.0516557618523386
table_active_count_sum,0.049463490685988674
flow_packet_count_10s_mean,0.04434518993220116
flow_packets_per_flow,0.0384577287338186
table_active_count_std,0.035767875717760016
no_of_unique_src_ports,0.02746604061171202
port_tx_packets_sum_diff,0.021948112726601188
flow_packet_count_std,0.021803274577717493
port_rx_packets_sum_diff,0.021294539315178787
flow_packet_count_sum_diff,0.020931087173463852
flow_byte_count_10s_mean,0.018575419963339616
no_of_total_flows_diff,0.018269378255640924
no_of_unique_src_addresses,0.017831742953052804
unique_src_to_dst_port_ratio,0.016418595843382518
port_rx_bytes_sum_diff,0.016246628423848528
unique_src_to_dst_address_ratio,0.01394964682298189
flow_byte_count_std,0.013816215620695281
flow_byte_count_sum_diff,0.012854439766346905
port_tx_bytes_sum_diff,0.012629129783230148
port_tx_packets_10s_mean,0.010765188898661284
table_matched_count_std,0.010260259176416781
port_rx_packets_10s_mean,0.00915216074759563
no_of_unique_dst_ports,0.008368515792062565
port_tx_packets_mean,0.008175046207116272
port_tx_packets_std,0.007742385744991706
flow_duration_sec_std,0.0075566079474841475
no_of_tcp_flows,0.007462553258927391
port_tx_bytes_std,0.007316701173571464
port_tx_bytes_mean,0.006520015973718441
port_rx_dropped_mean,0.006336563653631819
table_matched_count_sum,0.006070708650289475
table_matched_count_mean,0.0060635146569272035
no_of_tcp_flows_diff,0.005989414131429081
table_lookup_count_sum,0.005933379190023289
port_rx_bytes_mean,0.005645842468004537
table_lookup_count_std,0.005564213833153695
no_of_unique_src_addresses_diff,0.005431062563511812
tcp_to_udp_ratio,0.005367061019015113
port_rx_packets_std,0.0053621966418513686
table_lookup_count_mean,0.005339105442521258
port_tx_packets_sum,0.0051459519244492135
port_tx_bytes_sum,0.005066122601135209
flow_packet_count_sum,0.005011106563694466
port_rx_packets_sum,0.005000414186851346
port_rx_bytes_std,0.004969652223327246
port_rx_bytes_sum,0.004915570865690118
port_rx_dropped_sum,0.004546173475035519
flow_byte_count_sum,0.004485702941302962
port_rx_packets_mean,0.004248613913227102
no_of_udp_flows,0.0037218527071314956
no_of_udp_flows_diff,0.003160533431152488
no_of_icmp_flows,0.002772887137813901
no_of_other_flows_diff,0.0026274341990303765
no_of_unique_dst_addresses,0.0020964516723939665
no_of_icmp_flows_diff,0.0017568683769764808
no_of_other_flows,0.0016300287086425985
port_tx_dropped_sum,0.0
port_rx_dropped_std,0.0
port_tx_errors_sum,0.0
port_tx_errors_mean,0.0
port_tx_errors_std,0.0
port_rx_errors_sum,0.0
