ts,switch_dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
Sat Oct 11 19:53:26 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,0,529000000
Sat Oct 11 19:53:26 2025,1,1,2,1,140,42,0,0,0,0,0,0,0,0,0,533000000
Sat Oct 11 19:53:26 2025,1,2,1,2,42,140,0,0,0,0,0,0,0,0,0,533000000
Sat Oct 11 19:53:26 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,0,525000000
Sat Oct 11 19:53:26 2025,2,1,1,2,42,140,0,0,0,0,0,0,0,0,0,529000000
Sat Oct 11 19:53:26 2025,2,2,2,1,140,42,0,0,0,0,0,0,0,0,0,529000000
Sat Oct 11 19:53:27 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,1,536000000
Sat Oct 11 19:53:27 2025,1,1,2,1,140,42,0,0,0,0,0,0,0,0,1,540000000
Sat Oct 11 19:53:27 2025,1,2,1,2,42,140,0,0,0,0,0,0,0,0,1,540000000
Sat Oct 11 19:53:27 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,1,536000000
Sat Oct 11 19:53:27 2025,2,1,1,2,42,140,0,0,0,0,0,0,0,0,1,540000000
Sat Oct 11 19:53:27 2025,2,2,2,1,140,42,0,0,0,0,0,0,0,0,1,541000000
Sat Oct 11 19:53:28 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,2,535000000
Sat Oct 11 19:53:28 2025,2,1,1,2,42,140,0,0,0,0,0,0,0,0,2,540000000
Sat Oct 11 19:53:28 2025,2,2,2,1,140,42,0,0,0,0,0,0,0,0,2,540000000
Sat Oct 11 19:53:28 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,2,542000000
Sat Oct 11 19:53:28 2025,1,1,2,1,140,42,0,0,0,0,0,0,0,0,2,546000000
Sat Oct 11 19:53:28 2025,1,2,1,2,42,140,0,0,0,0,0,0,0,0,2,546000000
Sat Oct 11 19:53:29 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,3,526000000
Sat Oct 11 19:53:29 2025,1,1,2,1,140,42,0,0,0,0,0,0,0,0,3,530000000
Sat Oct 11 19:53:29 2025,1,2,1,2,42,140,0,0,0,0,0,0,0,0,3,530000000
Sat Oct 11 19:53:29 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,3,524000000
Sat Oct 11 19:53:29 2025,2,1,1,2,42,140,0,0,0,0,0,0,0,0,3,528000000
Sat Oct 11 19:53:29 2025,2,2,2,1,140,42,0,0,0,0,0,0,0,0,3,528000000
Sat Oct 11 19:53:30 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,4,521000000
Sat Oct 11 19:53:30 2025,1,1,2,1,140,42,0,0,0,0,0,0,0,0,4,526000000
Sat Oct 11 19:53:30 2025,1,2,1,2,42,140,0,0,0,0,0,0,0,0,4,526000000
Sat Oct 11 19:53:30 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,4,523000000
